timestamp,real_temperature,feeling_temperature,humidity,wind_speed,weather,is_holiday,is_weekend,season,used_bikes
2015-01-04 00:00:00,3.0,2.0,85.7,6.0,broken clouds,0.0,1.0,winter,172
2015-01-04 01:00:00,3.0,2.5,85.7,5.0,clear,0.0,1.0,winter,130
2015-01-04 02:00:00,2.5,2.5,88.85000000000001,0.0,clear,0.0,1.0,winter,126
2015-01-04 03:00:00,2.0,2.0,92.0,0.0,clear,0.0,1.0,winter,68
2015-01-04 04:00:00,2.0,0.0,85.7,6.5,clear,0.0,1.0,winter,44
2015-01-04 05:00:00,2.0,2.0,85.7,4.0,clear,0.0,1.0,winter,43
2015-01-04 06:00:00,1.0,-1.0,92.0,7.0,cloudy,0.0,1.0,winter,48
2015-01-04 07:00:00,1.0,-1.0,92.0,7.0,cloudy,0.0,1.0,winter,71
2015-01-04 08:00:00,1.5,-1.0,88.85000000000001,8.0,cloudy,0.0,1.0,winter,124
2015-01-04 09:00:00,2.0,-0.5,92.0,9.0,broken clouds,0.0,1.0,winter,285
2015-01-04 10:00:00,3.0,-0.5,85.7,12.0,broken clouds,0.0,1.0,winter,500
2015-01-04 11:00:00,2.0,-1.5,92.0,12.0,broken clouds,0.0,1.0,winter,688
2015-01-04 12:00:00,2.0,-1.5,88.85000000000001,13.0,cloudy,0.0,1.0,winter,816
2015-01-04 13:00:00,3.0,-0.5,80.3,15.0,broken clouds,0.0,1.0,winter,867
2015-01-04 14:00:00,2.5,0.0,83.0,8.0,broken clouds,0.0,1.0,winter,984
2015-01-04 15:00:00,2.0,-1.5,85.7,11.0,broken clouds,0.0,1.0,winter,823
2015-01-04 16:00:00,3.0,0.0,85.7,12.0,broken clouds,0.0,1.0,winter,698
2015-01-04 17:00:00,3.0,0.0,85.7,11.0,broken clouds,0.0,1.0,winter,562
2015-01-04 18:00:00,3.0,1.5,85.7,6.5,broken clouds,0.0,1.0,winter,494
2015-01-04 19:00:00,3.0,1.0,85.7,7.0,broken clouds,0.0,1.0,winter,359
2015-01-04 20:00:00,3.0,3.0,85.7,4.0,broken clouds,0.0,1.0,winter,310
2015-01-04 21:00:00,3.0,2.5,85.7,5.0,cloudy,0.0,1.0,winter,209
2015-01-04 22:00:00,3.0,2.0,85.7,6.0,cloudy,0.0,1.0,winter,168
2015-01-04 23:00:00,4.0,3.5,80.3,5.0,cloudy,0.0,1.0,winter,148
2015-01-05 00:00:00,4.0,3.0,85.7,6.0,cloudy,0.0,0.0,winter,78
2015-01-05 01:00:00,4.0,3.5,85.7,5.0,cloudy,0.0,0.0,winter,63
2015-01-05 02:00:00,5.0,4.0,80.3,6.0,cloudy,0.0,0.0,winter,30
2015-01-05 03:00:00,6.0,4.5,77.60000000000001,7.5,cloudy,0.0,0.0,winter,20
2015-01-05 04:00:00,6.5,5.0,77.60000000000001,8.0,cloudy,0.0,0.0,winter,36
2015-01-05 05:00:00,6.0,5.5,80.3,5.0,cloudy,0.0,0.0,winter,76
2015-01-05 06:00:00,7.0,6.5,74.9,5.0,broken clouds,0.0,0.0,winter,420
